DATEID,YEAR,SEMESTER,QUARTER,MONTHNAME,MONTH,MONTHNUMBERBYYEAR,WEEKNUMBER,DAYNAME,DAY,IS_WEEKDAY,FULLDATE
20030106,2003,1,1,January,1,2003-01,2,Monday,6,0,2003-01-06
20030109,2003,1,1,January,1,2003-01,2,Thursday,9,1,2003-01-09
20030110,2003,1,1,January,1,2003-01,2,Friday,10,1,2003-01-10
20030129,2003,1,1,January,1,2003-01,5,Wednesday,29,1,2003-01-29
20030131,2003,1,1,January,1,2003-01,5,Friday,31,1,2003-01-31
20030211,2003,1,1,February,2,2003-02,7,Tuesday,11,1,2003-02-11
20030217,2003,1,1,February,2,2003-02,8,Monday,17,0,2003-02-17
20030224,2003,1,1,February,2,2003-02,9,Monday,24,0,2003-02-24
20030303,2003,1,1,March,3,2003-03,10,Monday,3,0,2003-03-03
20030310,2003,1,1,March,3,2003-03,11,Monday,10,0,2003-03-10
20030318,2003,1,1,March,3,2003-03,12,Tuesday,18,1,2003-03-18
20030324,2003,1,1,March,3,2003-03,13,Monday,24,0,2003-03-24
20030325,2003,1,1,March,3,2003-03,13,Tuesday,25,1,2003-03-25
20030326,2003,1,1,March,3,2003-03,13,Wednesday,26,1,2003-03-26
20030401,2003,1,2,April,4,2003-04,14,Tuesday,1,1,2003-04-01
20030404,2003,1,2,April,4,2003-04,14,Friday,4,1,2003-04-04
20030411,2003,1,2,April,4,2003-04,15,Friday,11,1,2003-04-11
20030416,2003,1,2,April,4,2003-04,16,Wednesday,16,1,2003-04-16
20030421,2003,1,2,April,4,2003-04,17,Monday,21,0,2003-04-21
20030428,2003,1,2,April,4,2003-04,18,Monday,28,0,2003-04-28
20030429,2003,1,2,April,4,2003-04,18,Tuesday,29,1,2003-04-29
20030507,2003,1,2,May,5,2003-05,19,Wednesday,7,1,2003-05-07
20030508,2003,1,2,May,5,2003-05,19,Thursday,8,1,2003-05-08
20030520,2003,1,2,May,5,2003-05,21,Tuesday,20,1,2003-05-20
20030521,2003,1,2,May,5,2003-05,21,Wednesday,21,1,2003-05-21
20030528,2003,1,2,May,5,2003-05,22,Wednesday,28,1,2003-05-28
20030603,2003,1,2,June,6,2003-06,23,Tuesday,3,1,2003-06-03
20030606,2003,1,2,June,6,2003-06,23,Friday,6,1,2003-06-06
20030612,2003,1,2,June,6,2003-06,24,Thursday,12,1,2003-06-12
20030616,2003,1,2,June,6,2003-06,25,Monday,16,0,2003-06-16
20030627,2003,1,2,June,6,2003-06,26,Friday,27,1,2003-06-27
20030701,2003,2,3,July,7,2003-07,27,Tuesday,1,1,2003-07-01
20030702,2003,2,3,July,7,2003-07,27,Wednesday,2,1,2003-07-02
20030704,2003,2,3,July,7,2003-07,27,Friday,4,1,2003-07-04
20030710,2003,2,3,July,7,2003-07,28,Thursday,10,1,2003-07-10
20030716,2003,2,3,July,7,2003-07,29,Wednesday,16,1,2003-07-16
20030724,2003,2,3,July,7,2003-07,30,Thursday,24,1,2003-07-24
20030801,2003,2,3,August,8,2003-08,31,Friday,1,1,2003-08-01
20030808,2003,2,3,August,8,2003-08,32,Friday,8,1,2003-08-08
20030810,2003,2,3,August,8,2003-08,32,Sunday,10,1,2003-08-10
20030813,2003,2,3,August,8,2003-08,33,Wednesday,13,1,2003-08-13
20030825,2003,2,3,August,8,2003-08,35,Monday,25,0,2003-08-25
20030903,2003,2,3,September,9,2003-09,36,Wednesday,3,1,2003-09-03
20030905,2003,2,3,September,9,2003-09,36,Friday,5,1,2003-09-05
20030911,2003,2,3,September,9,2003-09,37,Thursday,11,1,2003-09-11
20030912,2003,2,3,September,9,2003-09,37,Friday,12,1,2003-09-12
20030919,2003,2,3,September,9,2003-09,38,Friday,19,1,2003-09-19
20030921,2003,2,3,September,9,2003-09,38,Sunday,21,1,2003-09-21
20030925,2003,2,3,September,9,2003-09,39,Thursday,25,1,2003-09-25
20030928,2003,2,3,September,9,2003-09,39,Sunday,28,1,2003-09-28
20031002,2003,2,4,October,10,2003-10,40,Thursday,2,1,2003-10-02
20031004,2003,2,4,October,10,2003-10,40,Saturday,4,1,2003-10-04
20031005,2003,2,4,October,10,2003-10,40,Sunday,5,1,2003-10-05
