CITY,STATE,COUNTRY,TERRITORY
NYC,NY,USA,
Reims,,France,EMEA
Paris,,France,EMEA
Pasadena,CA,USA,
San Francisco,CA,USA,
Burlingame,CA,USA,
Lille,,France,EMEA
Bergen,,Norway,EMEA
Melbourne,Victoria,Australia,APAC
Newark,NJ,USA,
Bridgewater,CT,USA,
Nantes,,France,EMEA
Cambridge,MA,USA,
Helsinki,,Finland,EMEA
Stavern,,Norway,EMEA
Allentown,PA,USA,
Salzburg,,Austria,EMEA
Chatswood,NSW,Australia,APAC
New Bedford,MA,USA,
Liverpool,,UK,EMEA
Madrid,,Spain,EMEA
Lule,,Sweden,EMEA
Singapore,,Singapore,Japan
South Brisbane,Queensland,Australia,APAC
Philadelphia,PA,USA,
Lyon,,France,EMEA
Vancouver,BC,Canada,
Burbank,CA,USA,
New Haven,CT,USA,
Minato-ku,Tokyo,Japan,Japan
Torino,,Italy,EMEA
Boras,,Sweden,EMEA
Versailles,,France,EMEA
San Rafael,CA,USA,
Nashua,NH,USA,
Brickhaven,MA,USA,
North Sydney,NSW,Australia,APAC
Montreal,Quebec,Canada,
Osaka,Osaka,Japan,Japan
White Plains,NY,USA,
Kobenhavn,,Denmark,EMEA
London,,UK,EMEA
Toulouse,,France,EMEA
Barcelona,,Spain,EMEA
Los Angeles,CA,USA,
San Diego,CA,USA,
Bruxelles,,Belgium,EMEA
Tsawassen,BC,Canada,
Boston,MA,USA,
Cowes,Isle of Wight,UK,EMEA
Oulu,,Finland,EMEA
San Jose,CA,USA,
Graz,,Austria,EMEA
Singapore,,Singapore,APAC
Makati City,,Philippines,Japan
Marseille,,France,EMEA
Koln,,Germany,EMEA
Gensve,,Switzerland,EMEA
Reggio Emilia,,Italy,EMEA
Frankfurt,,Germany,EMEA
Espoo,,Finland,EMEA
Dublin,,Ireland,EMEA
Manchester,,UK,EMEA
Aaarhus,,Denmark,EMEA
Glendale,CA,USA,
Sevilla,,Spain,EMEA
Brisbane,CA,USA,
Strasbourg,,France,EMEA
Las Vegas,NV,USA,
Oslo,,Norway,EMEA
Bergamo,,Italy,EMEA
Glen Waverly,Victoria,Australia,APAC
Glendale,CT,USA,
Munich,,Germany,EMEA
Charleroi,,Belgium,EMEA
