PRODUCTID,CUSTOMERID,DATEID,ORDERNUMBER,ORDERLINENUMBER,DEALSIZE,QUANTITYORDERED,PRICEEACH,SALES,TOTAL_ORDERLINE_AMOUNT
1,1,20030224,10107,2,Small,30,95.7,2871.0,2871.0
1,2,20030507,10121,5,Small,34,81.35,2765.9,2765.9
1,3,20030701,10134,2,Medium,41,94.74,3884.34,3884.34
1,4,20030825,10145,6,Medium,45,83.26,3746.7,3746.7
1,5,20031010,10159,14,Medium,49,100.0,5205.27,4900.0
1,6,20031028,10168,1,Medium,36,96.66,3479.76,3479.76
1,7,20031111,10180,9,Small,29,86.13,2497.77,2497.77
1,8,20031118,10188,1,Medium,48,100.0,5512.32,4800.0
1,9,20031201,10201,2,Small,22,98.57,2168.54,2168.54
1,10,20040115,10211,14,Medium,41,100.0,4708.44,4100.0
1,11,20040220,10223,1,Medium,37,100.0,3965.66,3700.0
1,12,20040405,10237,7,Small,23,100.0,2333.12,2300.0
1,13,20040518,10251,2,Medium,28,100.0,3188.64,2800.0
1,14,20040628,10263,2,Medium,34,100.0,3676.76,3400.0
1,15,20040723,10275,1,Medium,45,92.83,4177.35,4177.35
1,16,20040827,10285,6,Medium,36,100.0,4099.68,3600.0
1,17,20040930,10299,9,Small,23,100.0,2597.39,2300.0
1,18,20041015,10309,5,Medium,41,100.0,4394.38,4100.0
1,19,20041102,10318,1,Medium,46,94.74,4358.04,4358.04
1,1,20041115,10329,1,Medium,42,100.0,4396.14,4200.0
1,20,20041124,10341,9,Large,41,100.0,7737.93,4100.0
1,21,20041217,10361,13,Small,20,72.55,1451.0,1451.0
1,15,20050203,10375,12,Small,21,34.91,733.11,733.11
1,22,20050303,10388,4,Medium,42,76.36,3207.12,3207.12
1,23,20050408,10403,7,Small,24,100.0,2434.56,2400.0
1,24,20050513,10417,2,Large,66,100.0,7516.08,6600.0
2,18,20030129,10103,11,Medium,26,100.0,5404.62,2600.0
2,25,20030324,10112,1,Large,29,100.0,7209.11,2900.0
2,26,20030528,10126,11,Large,38,100.0,7329.06,3800.0
2,6,20030724,10140,11,Large,37,100.0,7374.1,3700.0
2,27,20030919,10150,8,Large,45,100.0,10993.5,4500.0
2,28,20031020,10163,1,Medium,21,100.0,4860.24,2100.0
2,29,20031106,10174,4,Large,34,100.0,8014.82,3400.0
2,30,20031113,10183,8,Medium,23,100.0,5372.57,2300.0
2,31,20031125,10194,11,Large,42,100.0,7290.36,4200.0
2,32,20031205,10206,6,Large,47,100.0,9064.89,4700.0
2,33,20040129,10215,3,Medium,35,100.0,6075.3,3500.0
2,34,20040310,10228,2,Medium,29,100.0,6463.23,2900.0
2,35,20040504,10245,9,Medium,34,100.0,6120.34,3400.0
2,36,20040615,10258,6,Large,32,100.0,7680.64,3200.0
2,21,20040719,10270,9,Medium,21,100.0,4905.39,2100.0
2,37,20040817,10280,2,Large,34,100.0,8014.82,3400.0
2,38,20040908,10291,11,Large,37,100.0,7136.19,3700.0
2,39,20041011,10304,6,Large,47,100.0,10172.7,4700.0
2,40,20041021,10312,3,Large,48,100.0,11623.7,4800.0
2,41,20041104,10322,1,Medium,40,100.0,6000.4,4000.0
2,9,20041118,10333,3,Medium,26,100.0,3003.0,2600.0
2,11,20041129,10347,1,Medium,30,100.0,3944.7,3000.0
2,40,20041210,10357,10,Medium,32,100.0,5691.84,3200.0
2,42,20050120,10369,2,Medium,41,100.0,4514.92,4100.0
2,5,20050217,10381,3,Large,36,100.0,8254.8,3600.0
2,43,20050309,10391,4,Small,24,100.0,2416.56,2400.0
2,44,20050501,10411,9,Medium,23,100.0,4140.23,2300.0
2,24,20050531,10424,6,Large,50,100.0,12001.0,5000.0
3,1,20030224,10107,5,Medium,39,99.91,3896.49,3896.49
3,11,20030429,10120,3,Small,29,96.34,2793.86,2793.86
3,3,20030701,10134,5,Medium,27,100.0,3307.77,2700.0
3,4,20030825,10145,9,Medium,37,100.0,5192.95,3700.0
3,5,20031010,10159,17,Medium,37,100.0,5016.83,3700.0
3,6,20031028,10168,4,Medium,27,100.0,3660.93,2700.0
3,7,20031111,10180,12,Medium,42,100.0,4695.6,4200.0
3,8,20031118,10188,4,Medium,38,96.34,3660.92,3660.92
3,9,20031201,10201,5,Medium,24,100.0,3025.92,2400.0
3,45,20040112,10210,2,Medium,23,100.0,3009.09,2300.0
3,11,20040220,10223,4,Medium,47,100.0,5422.39,4700.0
3,46,20040403,10236,1,Small,22,100.0,2852.08,2200.0
3,13,20040518,10251,5,Medium,44,100.0,5756.52,4400.0
3,14,20040628,10263,5,Medium,40,100.0,4472.0,4000.0
3,15,20040723,10275,4,Small,22,100.0,2904.44,2200.0
3,16,20040827,10285,9,Medium,47,100.0,6484.59,4700.0
3,47,20040927,10298,1,Medium,39,96.34,3757.26,3757.26
3,48,20041015,10308,2,Medium,34,100.0,4043.96,3400.0
3,19,20041102,10318,4,Medium,45,100.0,5566.5,4500.0
3,1,20041115,10329,2,Medium,20,100.0,3176.0,2000.0
3,36,20041123,10339,4,Small,40,68.92,2756.8,2756.8
3,21,20041217,10361,8,Small,26,51.15,1329.9,1329.9
3,29,20050202,10374,5,Medium,39,100.0,5288.01,3900.0
3,22,20050303,10388,5,Small,50,44.51,2225.5,2225.5
3,10,20050407,10402,1,Medium,45,100.0,5833.8,4500.0
3,24,20050513,10417,5,Medium,45,100.0,5887.35,4500.0
4,1,20030224,10107,4,Medium,27,100.0,6065.55,2700.0
4,11,20030429,10120,2,Large,46,100.0,9264.86,4600.0
4,3,20030701,10134,4,Large,31,100.0,7023.98,3100.0
4,4,20030825,10145,8,Medium,33,100.0,5176.38,3300.0
4,5,20031010,10159,16,Medium,22,100.0,4132.7,2200.0
4,6,20031028,10168,3,Medium,20,100.0,4183.0,2000.0
4,7,20031111,10180,11,Large,41,100.0,8892.9,4100.0
4,8,20031118,10188,3,Large,45,100.0,8714.7,4500.0
4,9,20031201,10201,4,Large,49,100.0,8065.89,4900.0
4,45,20040112,10210,1,Medium,34,100.0,6123.4,3400.0
4,11,20040220,10223,3,Large,49,100.0,9774.03,4900.0
4,12,20040405,10237,9,Large,39,100.0,7023.9,3900.0
4,13,20040518,10251,4,Large,43,100.0,7078.23,4300.0
4,14,20040628,10263,4,Large,41,100.0,8336.94,4100.0
4,15,20040723,10275,3,Medium,36,100.0,6901.92,3600.0
4,16,20040827,10285,8,Medium,27,100.0,5438.07,2700.0
4,17,20040930,10299,11,Medium,29,100.0,6683.34,2900.0
4,48,20041015,10308,1,Medium,20,100.0,4570.4,2000.0
4,19,20041102,10318,3,Large,37,100.0,7667.14,3700.0
4,1,20041115,10329,3,Medium,26,100.0,5868.2,2600.0
4,36,20041123,10339,3,Small,39,76.67,2990.13,2990.13
4,6,20050105,10362,4,Medium,22,100.0,3664.1,2200.0
4,29,20050202,10374,1,Medium,22,100.0,3834.38,2200.0
4,22,20050303,10388,7,Small,21,86.77,1822.17,1822.17
4,23,20050408,10403,9,Large,66,100.0,11886.6,6600.0
4,24,20050513,10417,4,Large,56,100.0,9218.16,5600.0
5,49,20030211,10105,2,Large,50,100.0,7208.0,5000.0
5,20,20030428,10119,11,Medium,46,100.0,5004.8,4600.0
5,50,20030612,10129,2,Medium,33,100.0,4398.24,3300.0
5,51,20030810,10143,15,Medium,49,100.0,5597.76,4900.0
5,17,20031006,10155,13,Medium,32,100.0,4526.08,3200.0
5,38,20031023,10167,9,Medium,44,100.0,5924.16,4400.0
5,52,20031108,10178,12,Medium,24,100.0,3492.48,2400.0
5,53,20031114,10186,9,Medium,26,100.0,3854.24,2600.0
5,54,20031126,10197,6,Medium,45,100.0,5324.4,4500.0
5,55,20040109,10209,8,Medium,39,100.0,5197.92,3900.0
5,56,20040219,10222,12,Medium,49,100.0,5997.6,4900.0
5,1,20040507,10248,3,Small,20,100.0,2910.4,2000.0
5,44,20040617,10261,1,Medium,27,100.0,3378.24,2700.0
5,57,20040721,10273,4,Medium,30,100.0,3508.8,3000.0
5,58,20040820,10283,6,Small,25,100.0,2992.0,2500.0
5,59,20040910,10295,1,Medium,24,100.0,3427.2,2400.0
5,30,20041014,10307,9,Small,22,100.0,2692.8,2200.0
5,60,20041101,10316,17,Medium,33,100.0,4128.96,3300.0
5,18,20041105,10325,6,Medium,47,64.93,3051.71,3051.71
5,28,20041121,10337,8,Small,25,48.05,1201.25,1201.25
5,24,20041202,10350,5,Small,26,75.47,1962.22,1962.22
5,2,20041215,10359,6,Small,48,54.68,2624.64,2624.64
5,61,20050131,10373,3,Medium,39,100.0,4046.25,3900.0
5,5,20050223,10384,4,Medium,34,100.0,4846.7,3400.0
5,3,20050317,10395,2,Medium,32,100.0,3370.56,3200.0
5,62,20050401,10400,9,Large,64,100.0,9661.44,6400.0
5,59,20050506,10414,3,Small,19,100.0,2764.88,1900.0
6,18,20030129,10103,4,Medium,42,100.0,5398.26,4200.0
6,63,20030401,10114,8,Medium,31,100.0,4305.28,3100.0
6,26,20030528,10126,4,Medium,22,100.0,3347.74,2200.0
6,6,20030724,10140,4,Medium,26,100.0,3188.12,2600.0
6,27,20030919,10150,1,Medium,20,100.0,3191.2,2000.0
6,64,20031021,10164,2,Medium,21,100.0,3536.82,2100.0
6,50,20031106,10175,9,Medium,33,100.0,5362.83,3300.0
6,30,20031113,10183,1,Medium,28,100.0,3433.36,2800.0
6,31,20031125,10194,4,Medium,26,100.0,4263.74,2600.0
6,65,20031209,10207,15,Medium,31,100.0,4076.19,3100.0
6,66,20040204,10217,4,Large,48,100.0,7020.48,4800.0
6,40,20040311,10229,9,Medium,50,100.0,6426.5,5000.0
6,35,20040504,10245,2,Medium,28,100.0,4591.72,2800.0
6,66,20040615,10259,12,Medium,26,100.0,4033.38,2600.0
6,21,20040719,10270,2,Medium,32,100.0,4302.08,3200.0
6,19,20040819,10281,9,Large,44,100.0,7020.64,4400.0
6,38,20040908,10291,4,Medium,30,100.0,3855.9,3000.0
6,16,20041013,10305,13,Medium,38,100.0,6680.78,3800.0
6,32,20041022,10313,7,Medium,40,100.0,6678.0,4000.0
6,41,20041104,10322,8,Small,46,61.99,2851.54,2851.54
6,25,20041119,10334,2,Medium,26,100.0,3188.12,2600.0
6,11,20041129,10347,2,Medium,27,100.0,4428.0,2700.0
6,40,20041210,10357,9,Medium,43,100.0,5780.92,4300.0
6,43,20050120,10370,4,Small,35,65.63,2297.05,2297.05
6,5,20050217,10381,6,Medium,37,100.0,6231.54,3700.0
6,43,20050309,10391,7,Small,37,46.9,1735.3,1735.3
6,44,20050501,10411,2,Medium,27,100.0,4427.73,2700.0
6,15,20050531,10425,12,Medium,38,100.0,5894.94,3800.0
7,67,20030303,10108,6,Medium,33,100.0,5265.15,3300.0
7,68,20030508,10122,10,Large,42,100.0,7599.9,4200.0
7,40,20030702,10135,7,Large,42,100.0,8008.56,4200.0
7,42,20030905,10147,7,Large,48,100.0,9245.76,4800.0
7,5,20031010,10159,2,Large,41,100.0,8296.35,4100.0
7,43,20031104,10169,2,Medium,30,100.0,5019.9,3000.0
7,8,20031112,10181,14,Medium,27,100.0,5411.07,2700.0
7,69,20031120,10191,3,Medium,21,100.0,3840.9,2100.0
7,24,20031202,10203,8,Medium,20,100.0,3930.4,2000.0
7,10,20040115,10211,2,Large,41,100.0,7498.9,4100.0
7,70,20040222,10225,9,Medium,27,100.0,4517.91,2700.0
7,49,20040409,10238,3,Medium,28,100.0,5774.72,2800.0
7,23,20040601,10253,13,Medium,24,100.0,3922.56,2400.0
7,71,20040706,10266,14,Large,44,100.0,9160.36,4400.0
7,72,20040802,10276,3,Large,50,100.0,9631.0,5000.0
7,70,20040830,10287,12,Medium,21,100.0,3432.24,2100.0
7,73,20031004,10300,5,Medium,33,100.0,5521.89,3300.0
7,69,20041016,10310,10,Medium,33,100.0,6934.62,3300.0
7,25,20041103,10320,3,Medium,31,100.0,6876.11,3100.0
7,1,20041115,10329,5,Small,41,71.47,2930.27,2930.27
7,20,20041124,10341,2,Medium,45,79.65,3584.25,3584.25
7,74,20050106,10363,3,Small,33,85.39,2817.87,2817.87
7,15,20050203,10375,7,Medium,45,76.0,3420.0,3420.0
7,38,20050303,10389,4,Small,26,99.04,2575.04,2575.04
7,20,20050517,10419,13,Small,12,100.0,1961.28,1200.0
8,49,20030211,10105,15,Large,41,100.0,8690.36,4100.0
8,27,20030416,10117,9,Medium,33,100.0,6034.38,3300.0
8,75,20030603,10127,2,Large,46,100.0,11279.2,4600.0
8,40,20030808,10142,12,Large,33,100.0,8023.29,3300.0
8,24,20030928,10153,11,Medium,20,100.0,4904.0,2000.0
8,27,20031022,10165,3,Large,44,100.0,8594.52,4400.0
8,71,20031106,10176,2,Large,33,100.0,7474.5,3300.0
8,51,20031114,10185,13,Medium,21,100.0,3883.74,2100.0
8,35,20031126,10196,5,Large,47,100.0,8887.7,4700.0
8,31,20040102,10208,13,Large,46,100.0,8602.92,4600.0
8,76,20040212,10220,2,Large,32,100.0,7181.44,3200.0
8,77,20040319,10231,2,Large,42,100.0,8378.58,4200.0
8,74,20040505,10247,2,Large,44,100.0,10606.2,4400.0
8,19,20040720,10272,2,Medium,35,100.0,5818.4,3500.0
8,40,20040820,10282,5,Large,41,100.0,7071.27,4100.0
8,37,20040909,10293,8,Large,46,100.0,8411.56,4600.0
8,78,20041014,10306,13,Medium,31,100.0,6570.76,3100.0
8,79,20041022,10314,5,Large,38,100.0,7975.44,3800.0
8,18,20041105,10325,8,Small,42,64.0,2688.0,2688.0
8,63,20041120,10336,10,Small,33,57.22,1888.26,1888.26
8,26,20041101,10348,8,Small,48,52.36,2513.28,2513.28
8,2,20041215,10359,8,Medium,42,100.0,4764.48,4200.0
8,40,20050123,10371,6,Medium,32,100.0,3560.64,3200.0
8,40,20050217,10382,10,Medium,34,100.0,3823.64,3400.0
8,3,20050317,10395,1,Small,33,69.12,2280.96,2280.96
8,14,20050505,10413,2,Large,36,100.0,8677.8,3600.0
9,18,20030129,10103,8,Medium,27,100.0,3394.98,2700.0
9,40,20030326,10113,2,Medium,21,100.0,3415.44,2100.0
9,26,20030528,10126,8,Small,21,100.0,2439.57,2100.0
9,6,20030724,10140,8,Medium,38,100.0,4829.8,3800.0
9,27,20030919,10150,5,Medium,30,100.0,4100.1,3000.0
9,64,20031021,10164,6,Medium,49,100.0,6563.06,4900.0
9,29,20031106,10174,1,Medium,43,100.0,6817.22,4300.0
9,30,20031113,10183,5,Medium,41,100.0,6163.94,4100.0
9,31,20031125,10194,8,Medium,38,100.0,4933.92,3800.0
9,32,20031205,10206,3,Medium,28,100.0,4056.36,2800.0
9,39,20040202,10216,1,Medium,43,100.0,5759.42,4300.0
9,40,20040311,10229,13,Medium,25,100.0,3451.0,2500.0
9,35,20040504,10245,6,Medium,38,100.0,5920.4,3800.0
9,36,20040615,10258,3,Medium,41,100.0,6668.24,4100.0
9,21,20040719,10270,6,Medium,28,100.0,4094.72,2800.0
9,19,20040819,10281,13,Small,25,100.0,2938.5,2500.0
9,38,20040908,10291,8,Medium,41,100.0,6387.8,4100.0
9,39,20041011,10304,3,Medium,39,100.0,6396.0,3900.0
9,32,20041022,10313,11,Small,21,100.0,2669.1,2100.0
